FPS
210.58
324.718
355.591
355.498
354.184
349.476
349.41
352.219
352.624
346.256
352.444
352.639
350.452
351.577
338.764
344.673
352.474
355.388
359.861
355.886
349.882
347.811
357.225
347.941
344.976
351.238
349.777
347.168
347.881
353.341
357.669
355.033
348.576
351.769
352.809
355.59
358.781
356.833
359.508
353.275
351.327
277.56
301.803
324.821
346.878
340.455
349.976
357.564
353.912
352.175
